"user_id","cafe_id","score","txt"
"1","1","5","東西是好吃的，只不過鬆餅每次一來就會覺得有點膩  但還是會一直想要吃的欲望那感覺，焗烤類感覺很不錯希望下一次去能點點看 還有千層麵一開始以為會吃不飽但是吃過才知道真正的分量是足夠的，很適合當早午餐一起吃！早餐沒吃吃這個就好滿足胃也是哈哈哈哈 ~~氣氛挺喜歡的！貓咪也很可愛 期待下次再去"
"1","25","5","點了一杯名字很好聽的質感咖啡🥰味道剛剛好不會苦澀或者很甜 非常的咖啡味~超級喜歡的 老闆人也很好！！第一次遇到是要親自設定價錢然後去付錢，時間也很不限定 就很完美 一個人靜下來讀書是個不錯的環境 一大早就來一杯咖啡精神就充足了😍 …"
"1","2","4","很喜歡現場的感覺，一進門就有在韓國釜山的咖啡廳😍好愛好愛 如果今天天氣再好一點那感覺會更讚但是天氣部分導致拍張有點還好~~東西幾乎都是有關羊奶的 喝了一杯無糖羊奶咖啡，個人感覺還好 味道很濃郁，坐在靠窗的位置好喜歡！！旁邊就是七星潭了，好愛那感覺 一進來的小巷也很好拍📸📸氛圍感拉滿了 …"
"1","3","5","戶外的座位很好看！有機會晚上再去消費一次😍😍環境很喜歡～～ …"
"1","48","5",
"1","12","5","特調咖啡很好喝~很喜歡❤️檸檬的味道也重 很愛❤️可頌的口感非常好 吃一次就會愛上！
點的是：馬告可頌+浮室特調咖啡 環境也好太喜歡了✨✨也有遇到外國人 看來都很喜歡😆期待下次再點不一樣的招牌😗 …"
"1","41","5","之前都在Google和IG看到 看著很好吃 想說這次有機會來試試看！果然！很符合 每天的甜點雖然都不一樣 但還是很適合下午茶點心～有機會還會再來二訪的👍🏻不會太甜 蜜香紅茶很推 …"
"1","15","5","宇治抹茶冰淇淋很喜歡😍😍還有竹炭鬆餅~~店裡的貓咪也超可愛的 很親人超愛的~~服務人員人很親切 鬆餅的上面奶油不會太甜配上竹炭鬆餅很剛好~吃下午茶很可以 不會很飽 分量也很剛好 有機會會再去吃一次正餐~ …"
"2","1","5","放在口袋名單的驚奇咖啡，今天剛好有時間來試吃看看。
濃湯的部份，幾乎看到是每桌必點的菜色之一，本就愛酥皮濃湯的我，勢必也來嚐嚐，至於濃湯的口味～嗯，中規中矩，還不錯。
餐點的部份，點了一份蒜味松露雞腿～青醬培根義大利麵。   餐點味道濃郁，雞腿軟嫩，培根🥓厚實，量很足，套餐的冰紅茶還可以暢飲～喔耶！吃的好滿足！ …"
"3","1","5","店貓很愛講話，很可愛！
餐點也好吃！
環境很舒適、寬敞、還有遊戲機可以玩！"
"4","1","5","過中午時間來，熱銷蛤蠣義大利麵已完售，點了第二最愛😍超愛的蔬菜都在裡面❤️料超豐富 …"
"5","1","5","之前來過幾次，餐點都不錯，氣氛很棒，這次點了蛤蜊義大利麵及緬北酸辣雞球（附酥皮濃湯），可續飯及小菜，套餐+40元紅茶也可免費續，環境乾淨，很放鬆的一個地方，避開用餐高峰時段，看到店內有台街機，兩個小朋友開心的玩了一下下，媽媽終於獲得短暫的喘息🤣 …"
