user_idx,combined_text
0,"東西是好吃的，只不過鬆餅每次一來就會覺得有點膩  但還是會一直想要吃的欲望那感覺，焗烤類感覺很不錯希望下一次去能點點看 還有千層麵一開始以為會吃不飽但是吃過才知道真正的分量是足夠的，很適合當早午餐一起吃！早餐沒吃吃這個就好滿足胃也是哈哈哈哈 ~~氣氛挺喜歡的！貓咪也很可愛 期待下次再去 點了一杯名字很好聽的質感咖啡🥰味道剛剛好不會苦澀或者很甜 非常的咖啡味~超級喜歡的 老闆人也很好！！第一次遇到是要親自設定價錢然後去付錢，時間也很不限定 就很完美 一個人靜下來讀書是個不錯的環境 一大早就來一杯咖啡精神就充足了😍 … 很喜歡現場的感覺，一進門就有在韓國釜山的咖啡廳😍好愛好愛 如果今天天氣再好一點那感覺會更讚但是天氣部分導致拍張有點還好~~東西幾乎都是有關羊奶的 喝了一杯無糖羊奶咖啡，個人感覺還好 味道很濃郁，坐在靠窗的位置好喜歡！！旁邊就是七星潭了，好愛那感覺 一進來的小巷也很好拍📸📸氛圍感拉滿了 … 戶外的座位很好看！有機會晚上再去消費一次😍😍環境很喜歡～～ … 特調咖啡很好喝~很喜歡❤️檸檬的味道也重 很愛❤️可頌的口感非常好 吃一次就會愛上！
點的是：馬告可頌+浮室特調咖啡 環境也好太喜歡了✨✨也有遇到外國人 看來都很喜歡😆期待下次再點不一樣的招牌😗 … 之前都在Google和IG看到 看著很好吃 想說這次有機會來試試看！果然！很符合 每天的甜點雖然都不一樣 但還是很適合下午茶點心～有機會還會再來二訪的👍🏻不會太甜 蜜香紅茶很推 … 宇治抹茶冰淇淋很喜歡😍😍還有竹炭鬆餅~~店裡的貓咪也超可愛的 很親人超愛的~~服務人員人很親切 鬆餅的上面奶油不會太甜配上竹炭鬆餅很剛好~吃下午茶很可以 不會很飽 分量也很剛好 有機會會再去吃一次正餐~ …"
1,"看起來樸實無華
但其實超好吃
跟一般鬆餅不一樣 … 貓咪超可愛😻😻😻 …"
2,"食材新鮮豐富，簡單調味吃的安心又滿足，滿室的綠意還有老闆友善的好態度，都讓人很舒服自在，是一家值得推薦的用心好店！ 書籍都很棒，店內咖啡手沖很順口，甜點好吃，空間非常舒服，感受的到老闆的用心～ 回來都在想念闆娘用可愛的腔調告訴我們
No latte No cappuccino No cake，
一間只賣單品咖啡的店，用咖啡原有的風味口感讓自己品嚐口味上表現的層次及美感。 … 環境很漂亮～"
3,好喝👍 … 貓咪很可愛
4,悠閒、空間大😍 … 古老的日式建築、日式庭園，加上好喝的飲料、好吃的甜點，值得一訪再訪
5,老闆對咖啡豆的專業及品質都非常棒，值得再訪的小店 環境👌好氣氛佳，餐點好吃😍😍 …
6,推薦淺培，80/杯，喝的出來烘培功力，咖啡豆的特殊味道都有，超值。 咖啡豆烘培過頭了
7,沒開也沒告示，估計倒了 貓貓五星 貓貓五星
8,"司康都是當天現做的！ 司康質地很棒，烤的也剛好很好吃，不過司康抹醬要另外買！
手沖單品 衣索比亞-這支很好喝，酸度舒服，花香果香都有出來！店內無廁所有些不方便！ 今天喝巧克力情人（單品手沖）
很好喝！！而且才90元
下次想試試看拿鐵
不過很可惜可麗露賣完了QQ 太扯了，東西好吃就算了，店員人還超好，不知道想怎樣，小狗好摸，但小狗狗跟店員比還是差太多，店員都把小狗的鋒芒蓋住了，建議再多養ㄧ隻小狗～ 貓咪可愛"
9,蛋糕很美味，嘗試了伯爵茶芝士蛋糕，超級推薦。咖啡很好，不會太黑或太酸。氣氛很好，貓很可愛（他們甚至在菜單中放了它們的簡介） 這裡的咖啡很好喝，他們自己烘焙咖啡。
10,卡布奇諾和熱巧克力製作精良。布朗尼非常棒！ 冰咖啡和熱巧克力製作精良。這是我們第一次嘗試如此美味的法式吐司。華夫餅香脆蓬鬆，搭配冰淇淋極緻美味。值得等待。如果您需要片刻安靜，這就是花蓮的最佳去處。
11,貓很可愛 咖啡很美味，提拉米蘇也很美味。老闆也很友善。
12,"餐點都很好吃很豐盛很有飽足感，而且都特別大又多
適合與朋友聚餐 ，晚上也有魔術師 特別驚奇
服務態度都很不錯
還有可愛的店狗 😆 … 雖然座位不多，但裡面的氣氛不錯，貓咪很可愛很親人
喝的跟吃的都不錯，服務也很好 😊 …"
13,"好喝 ☕️美式咖啡
-豆子的風味有點點果香味，口感輕薄
☕️咖啡拿鐵 …"
14,"好坐的地方 非常不錯的咖啡
但可能要穿長褲來喔
因為有幾隻小黑蚊>< …"
15,"入口差點就進不去了XD
充滿驚奇的咖啡屋，簡餐也不錯吃，推個喔~ 燈光好氣氛佳~~~~:)"
16,"品項眾多
適合聚餐
餐點普通 很舒服的咖啡店，佈置文青雅緻舒服，拿鐵好喝，蜜香紅茶、蜜香綠茶也很好喝，極簡風格的日系茶具襯托茶色很美。"
17,"位於小巷內的一家甜點店，甜點甜而不膩，甜點好吃飲品好喝，放鬆的好地方，若是軍、警、義消、護士還有特別小優惠！ 今天是公休日，因老板剛烤好咖啡豆，所以老板說可以營業，老板很熱心介紹咖啡豆如何選擇，磨好豆子試聞香味，再沖泡咖啡，沖泡後因水溫不同，喝起來的味道也不同。
有花香.果香.酒香
鬆餅剛上桌先吃原味，外脆內鬆軟，在搭配鮮奶油，最後淋上蜂蜜在鬆餅上別有一番風味。"
18,"真的是隱藏小巷弄裡😆
看到的第一眼我遲疑是不是找錯地方
但是老闆很親切的出來招呼 … 真材實料的美味大力推薦
招牌鬆餅等你來品嚐
老闆的另一特色是各式精品手沖咖啡 …"
19,是一個很賢靜的咖啡館，闆娘對咖啡有著豐富的見解。果茶也相當的有風味，第一次的檸檬扎片體驗，相當驚奇。店內也有插頭，很適合學生、朋友來這裏聊天使用筆電。 這是一個很chill的地方，好吃的鬆餅、獨特且充滿韻味的咖啡、醇厚的抹茶、恰到好處的氛圍，再加上老闆對食物、咖啡的堅持與心，讓本來只是不經意踏入此處的我流連不已。來到這裡請一定要吃吃看他們的鬆餅，驚奇的口感，真的可稱之為台灣獨一無二。 …
20,"好喝的咖啡！ 非常好吃 ！咖啡也好喝
鬆餅甜而不膩！
一個人也很適合來 非常推薦的一家！
義大利麵非常好吃，白醬出乎意料的濃卻不膩！
鬆餅也是第一次吃到這樣的口感，真的很鬆！ …"
21,"真心大推薦鬆餅 真的是台灣最好吃的鬆餅
天然的麵粉香 自制不加發泡劑的奶油
還有一定要喝白蘭地咖啡 跟泡泡一起喝就真的像喝白蘭地一樣 香氣久久不散在口中化開 … 巴斯克蛋糕非常的好吃綿密！"
22,鬆餅獨特的口感搭配老闆的手沖咖啡，非常棒的體驗。老闆很有熱誠地介紹每一樣產品，也會讓客人聞咖啡豆和磨出來的咖啡粉味道，很用心。最後還招待了有玉蘭花和白蘭地香氣的咖啡，平常就有自己做手沖咖啡的習慣，非常佩服老闆的功力。 老闆與闆娘非常認真對待每一杯咖啡，且非常親切！ 這是我喝過全世界最好喝的拿鐵，就在花蓮！味道簡直絕了！我要把行李箱裝滿這些咖啡豆！
23,CP值非常高的咖啡廳！餐點美味，氣氛佳！花蓮在地人真心推薦！ 很適合聊天的地方～
